,Quarter,Time,Tm,Detail,ATL,SEA
0,1.0,2:07,Seahawks,Christine Michael 9 yard rush (Stephen Hauschka kick),0,7
1,2.0,8:42,Falcons,Matt Bryant 33 yard field goal,3,7
2,2.0,4:32,Seahawks,Alex Collins 2 yard rush (Stephen Hauschka kick),3,14
3,2.0,0:46,Seahawks,Stephen Hauschka 42 yard field goal,3,17
4,3.0,11:01,Falcons,Julio Jones 36 yard pass from Matt Ryan (Matt Bryant kick),10,17
5,3.0,6:16,Falcons,Mohamed Sanu 10 yard pass from Matt Ryan (Matt Bryant kick),17,17
6,3.0,0:17,Falcons,Levine Toilolo 46 yard pass from Matt Ryan (Matt Bryant kick),24,17
7,4.0,4:43,Seahawks,Christine Michael 1 yard rush (Stephen Hauschka kick failed),24,23
8,4.0,2:02,Seahawks,Stephen Hauschka 44 yard field goal,24,26
