,Quarter,Tm,Detail,RAM,HOU
0,1.0,Rams,Cullen Bryant 3 yard rush (Frank Corral kick),7,0
1,2.0,Rams,Frank Corral 25 yard field goal,10,0
2,2.0,Oilers,Toni Fritsch 32 yard field goal,10,3
3,4.0,Oilers,Toni Fritsch 20 yard field goal,10,6
