,Quarter,Time,Tm,Detail,DAL,MIA
0,1.0,,Cowboys,Chris Boniol 33 yard field goal,3,0
1,2.0,5:54,Cowboys,Chris Boniol 29 yard field goal,6,0
2,2.0,5:54,Dolphins,Stanley Pritchett 16 yard pass from Dan Marino (Joe Nedney kick),6,7
3,2.0,5:54,Dolphins,Joe Nedney 26 yard field goal,6,10
4,2.0,5:54,Cowboys,Chris Boniol 24 yard field goal,9,10
5,3.0,5:54,Cowboys,Eric Bjornson 4 yard pass from Troy Aikman (Chris Boniol kick),16,10
6,3.0,5:54,Cowboys,Michael Irvin 2 yard pass from Troy Aikman,22,10
7,4.0,5:54,Cowboys,Emmitt Smith 10 yard pass from Troy Aikman (Chris Boniol kick),29,10
