,Quarter,Tm,Detail,DAL,CHI
0,1.0,Cowboys,Ken Willis 27 yard field goal,3,0
1,1.0,Cowboys,Emmitt Smith 1 yard rush (Ken Willis kick),10,0
2,2.0,Bears,Kevin Butler 19 yard field goal,10,3
3,3.0,Bears,Kevin Butler 43 yard field goal,10,6
4,3.0,Cowboys,Jay Novacek 3 yard pass from Steve Beuerlein (Ken Willis kick),17,6
5,4.0,Bears,Tom Waddle 6 yard pass from Jim Harbaugh (Kevin Butler kick),17,13
