,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Steve Christie 31 yard field goal,0,3
1,1.0,Bears,Neal Anderson 12 yard rush (Kevin Butler kick),7,3
2,1.0,Buccaneers,Gary Anderson 64 yard rush (Steve Christie kick),7,10
3,2.0,Bears,Neal Anderson 7 yard pass from Jim Harbaugh (Kevin Butler kick),14,10
4,2.0,Buccaneers,Steve Christie 36 yard field goal,14,13
5,3.0,Bears,Wendell Davis 43 yard pass from Jim Harbaugh (Kevin Butler kick),21,13
6,4.0,Buccaneers,Bruce Hill 15 yard pass from Chris Chandler (Steve Christie kick),21,20
