,Quarter,Tm,Detail,DEN,KAN
0,2.0,Chiefs,J.T. Smith 33 yard pass from Bill Kenney (Nick Lowery kick),0,7
1,2.0,Chiefs,Arnold Morgado 1 yard rush (Nick Lowery kick),0,14
2,2.0,Chiefs,Tom Howard 3 yard defensive fumble return (Nick Lowery kick),0,21
3,2.0,Chiefs,Bubba Garcia 8 yard pass from Bill Kenney (Nick Lowery kick),0,28
4,3.0,Broncos,Riley Odoms 22 yard pass from Craig Morton (Fred Steinfort kick),7,28
5,4.0,Broncos,Haven Moses 4 yard pass from Craig Morton (Fred Steinfort kick),14,28
6,4.0,Chiefs,Nick Lowery 20 yard field goal,14,31
