,Quarter,Tm,Detail,WAS,DAL
0,1.0,Redskins,Charlie Harraway 57 yard rush (Curt Knight kick),7,0
1,2.0,Cowboys,Mike Clark 22 yard field goal,7,3
2,2.0,Redskins,Roy Jefferson 50 yard pass from Billy Kilmer (Curt Knight kick),14,3
3,2.0,Cowboys,Mike Clark 9 yard field goal,14,6
4,2.0,Cowboys,Mike Clark 27 yard field goal,14,9
5,3.0,Redskins,Curt Knight 25 yard field goal,17,9
6,4.0,Redskins,Curt Knight 32 yard field goal,20,9
7,4.0,Cowboys,Calvin Hill 1 yard rush (Mike Clark kick),20,16
