,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Bob Khayat 15 yard field goal,0,3
1,2.0,Cowboys,Frank Clarke 32 yard pass from Eddie LeBaron (Fred Cone kick),7,3
2,2.0,Redskins,Dick James 7 yard pass from Ralph Guglielmi (Bob Khayat kick),7,10
3,2.0,Redskins,Bob Khayat 29 yard field goal,7,13
4,3.0,Redskins,Bob Khayat 38 yard field goal,7,16
5,4.0,Redskins,Bob Khayat 10 yard field goal,7,19
6,4.0,Cowboys,Dick Bielski 1 yard pass from Eddie LeBaron (Fred Cone kick),14,19
7,4.0,Redskins,Johnny Olszewski 1 yard rush (Bob Khayat kick),14,26
