,Quarter,Tm,Detail,TAM,CIN
0,1.0,Bengals,Bob Trumpy 10 yard pass from Ken Anderson (Chris Bahr kick),0,7
1,1.0,Bengals,Boobie Clark 3 yard rush (Chris Bahr kick),0,14
2,3.0,Bengals,Tommy Casanova 25 yard defensive fumble return (Chris Bahr kick),0,21
