,Quarter,Time,Tm,Detail,GNB,CHI
0,1,4:14,Bears,Eddy Pineiro 38 yard field goal,0,3
1,2,13:15,Packers,Jimmy Graham 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
2,4,5:20,Packers,Mason Crosby 39 yard field goal,10,3
