,Quarter,Time,Tm,Detail,CIN,NYG
0,1.0,,Giants,Brad Daluiso 35 yard field goal,0,3
1,1.0,,Bengals,Corey Dillon 1 yard rush (Doug Pelfrey kick),7,3
2,2.0,,Giants,Charles Way 1 yard rush (Brad Daluiso kick),7,10
3,2.0,3:32,Bengals,Eric Bieniemy 102 yard kickoff return (Doug Pelfrey kick),14,10
4,2.0,3:32,Bengals,David Dunn 39 yard pass from Jeff Blake (Doug Pelfrey kick),21,10
5,3.0,3:32,Giants,Charles Way 1 yard rush (run failed),21,16
6,4.0,3:32,Giants,Tyrone Wheatley 1 yard rush (pass failed),21,22
7,4.0,3:32,Giants,Tyrone Wheatley 3 yard rush (Brad Daluiso kick),21,29
8,4.0,3:32,Bengals,Jeff Blake 4 yard rush (pass failed),27,29
