,Quarter,Tm,Detail,RAM,NYG
0,1.0,Giants,Pat Summerall 22 yard field goal,0,3
1,2.0,Giants,Alex Webster 59 yard pass from Y.A. Tittle (Pat Summerall kick),0,10
2,3.0,Rams,Red Phillips 33 yard pass from Frank Ryan (Danny Villanueva kick),7,10
3,3.0,Rams,Dick Bass 53 yard rush (Danny Villanueva kick),14,10
4,4.0,Giants,Kyle Rote 10 yard pass from Charlie Conerly (Pat Summerall kick),14,17
5,4.0,Giants,Del Shofner 37 yard pass from Charlie Conerly (Pat Summerall kick),14,24
