,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,10:33,Buccaneers,Keyshawn Johnson 9 yard pass from Shaun King (Martin Gramatica kick),0,7
1,1.0,6:35,Vikings,Gary Anderson 30 yard field goal,3,7
2,1.0,3:40,Buccaneers,Warrick Dunn 23 yard pass from Shaun King (Martin Gramatica kick),3,14
3,2.0,11:57,Vikings,Randy Moss 7 yard pass from Daunte Culpepper (Gary Anderson kick),10,14
4,2.0,9:46,Buccaneers,Dave Moore 20 yard pass from Shaun King (Martin Gramatica kick),10,21
5,2.0,7:58,Buccaneers,Derrick Brooks 34 yard interception return (Martin Gramatica kick),10,28
6,2.0,3:38,Buccaneers,Martin Gramatica 47 yard field goal,10,31
7,2.0,0:20,Vikings,Gary Anderson 37 yard field goal,13,31
8,3.0,6:25,Buccaneers,Martin Gramatica 26 yard field goal,13,34
9,4.0,5:05,Buccaneers,Reidel Anthony 16 yard pass from Shaun King (Martin Gramatica kick),13,41
