,Quarter,Tm,Detail,NYG,SIS
0,1,Stapletons,Ken Strong 11 yard rush (Ken Strong kick),0,7
1,2,Giants,Benny Friedman 15 yard rush,6,7
2,4,Stapletons,"Safety, Friedman's pass blocked in end zone",6,9
