,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),7,0
1,1.0,Vikings,Chuck Foreman 1 yard rush (Rick Danmeier kick),7,7
2,2.0,Vikings,Chuck Foreman 1 yard rush (Rick Danmeier kick),7,14
3,2.0,Vikings,Rick Danmeier 25 yard field goal,7,17
4,3.0,Bears,Walter Payton 19 yard rush (Bob Thomas kick),14,17
