,Quarter,Time,Tm,Detail,NWE,CAR
0,1.0,10:04,Patriots,Adam Vinatieri 19 yard field goal,3,0
1,1.0,7:58,Patriots,Ty Law 46 yard interception return (Adam Vinatieri kick),10,0
2,2.0,6:25,Panthers,John Kasay 29 yard field goal,10,3
3,3.0,8:30,Patriots,Troy Brown 68 yard punt return (Adam Vinatieri kick),17,3
4,3.0,4:46,Panthers,John Kasay 40 yard field goal,17,6
5,3.0,1:29,Patriots,Antowain Smith 32 yard rush (Adam Vinatieri kick),24,6
6,4.0,10:38,Patriots,Jermaine Wiggins 5 yard pass from Tom Brady (Adam Vinatieri kick),31,6
7,4.0,5:45,Patriots,Otis Smith 76 yard interception return (Adam Vinatieri kick),38,6
