,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,Jim Finks 4 yard rush (Nick Bolkovac kick),0,7
1,2.0,Steelers,Nick Bolkovac 40 yard field goal,0,10
2,2.0,Steelers,Lynn Chandnois 6 yard rush (Nick Bolkovac kick),0,17
3,3.0,Steelers,Jim Brandt 2 yard rush (Nick Bolkovac kick),0,24
4,3.0,Steelers,Jim Brandt 1 yard rush (Nick Bolkovac kick),0,31
5,3.0,Packers,Babe Parilli 1 yard rush (Fred Cone kick),7,31
6,4.0,Packers,Fred Cone 5 yard pass from Tobin Rote (Fred Cone kick),14,31
