,Quarter,Tm,Detail,RAI,SEA
0,1.0,Seahawks,Steve Largent 15 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Raiders,Greg Townsend defensive fumble recovery in end zone (Chris Bahr kick),7,7
2,1.0,Raiders,Tim Brown 49 yard pass from Steve Beuerlein (Chris Bahr kick),14,7
3,2.0,Seahawks,Brian Blades 6 yard pass from Dave Krieg (Norm Johnson kick),14,14
4,2.0,Raiders,Chris Bahr 46 yard field goal,17,14
5,2.0,Raiders,Chris Bahr 46 yard field goal,20,14
6,2.0,Seahawks,Paul Skansi 11 yard pass from Dave Krieg (Norm Johnson kick),20,21
7,3.0,Raiders,Steve Smith 4 yard rush (Chris Bahr kick),27,21
8,4.0,Seahawks,Curt Warner 7 yard pass from Dave Krieg (Norm Johnson kick),27,28
9,4.0,Seahawks,Louis Clark 20 yard pass from Dave Krieg (Norm Johnson kick),27,35
