,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Jimmy Ridlon 63 yard defensive fumble return (Dick Van Raaphorst kick),7,0
1,2.0,Eagles,Ron Goodwin 11 yard pass from Jack Concannon (Sam Baker kick),7,7
2,3.0,Cowboys,Tommy McDonald 12 yard pass from Don Meredith (Dick Van Raaphorst kick),14,7
3,4.0,Eagles,Sam Baker 48 yard field goal,14,10
4,4.0,Eagles,Pete Retzlaff 31 yard pass from Jack Concannon (Sam Baker kick),14,17
5,4.0,Eagles,Joe Scarpati 24 yard interception return (Sam Baker kick),14,24
