,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,10:59,Packers,Ryan Longwell 22 yard field goal,0,3
1,1.0,3:36,Packers,Ryan Longwell 27 yard field goal,0,6
2,3.0,7:30,Lions,Jason Hanson 26 yard field goal,3,6
3,3.0,0:43,Packers,Ryan Longwell 26 yard field goal,3,9
4,4.0,11:49,Packers,Ryan Longwell 45 yard field goal,3,12
5,4.0,7:04,Lions,James Stewart 1 yard rush (Jason Hanson kick),10,12
6,4.0,4:25,Packers,Ahman Green 3 yard pass from Brett Favre (Ryan Longwell kick),10,19
7,4.0,2:17,Lions,Jason Hanson 36 yard field goal,13,19
8,4.0,1:54,Packers,Ahman Green 39 yard rush (Ryan Longwell kick),13,26
