,Quarter,Tm,Detail,WAS,HOU
0,2.0,Redskins,Frank Grant 13 yard pass from Billy Kilmer (Mark Moseley kick),7,0
1,3.0,Oilers,Don Hardeman 1 yard rush,7,6
2,3.0,Redskins,Mark Moseley 32 yard field goal,10,6
3,4.0,Oilers,Don Hardeman 1 yard rush (Skip Butler kick),10,13
