,Quarter,Tm,Detail,CHI,PIT
0,1.0,Bears,Bob Thomas 28 yard field goal,3,0
1,1.0,Steelers,Jim Smith 21 yard pass from Terry Bradshaw (Matt Bahr kick),3,7
2,2.0,Steelers,Matt Bahr 20 yard field goal,3,10
3,2.0,Steelers,Jim Smith 29 yard pass from Terry Bradshaw (Matt Bahr kick),3,17
4,2.0,Steelers,Jim Smith 23 yard pass from Terry Bradshaw (Matt Bahr kick),3,24
5,3.0,Steelers,Bennie Cunningham 2 yard pass from Terry Bradshaw (Matt Bahr kick),3,31
6,4.0,Steelers,Franco Harris 9 yard pass from Cliff Stoudt (Matt Bahr kick),3,38
