,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Ron Acks special teams fumble recovery in end zone (Bob Etter kick),0,7
1,1.0,Falcons,Paul Flatley 16 yard pass from Harmon Wages (Bob Etter kick),0,14
2,2.0,Saints,Tom Dempsey 20 yard field goal,3,14
3,2.0,Falcons,Harmon Wages 88 yard pass from Bob Berry (Bob Etter kick),3,21
4,2.0,Saints,Tony Baker 3 yard pass from Billy Kilmer (Tom Dempsey kick),10,21
5,2.0,Falcons,Gail Cogdill 9 yard pass from Bob Berry (Bob Etter kick),10,28
6,3.0,Falcons,Paul Flatley 13 yard pass from Bob Berry (Bob Etter kick),10,35
7,4.0,Falcons,Bob Etter 19 yard field goal,10,38
8,4.0,Falcons,Harmon Wages 66 yard rush (Bob Etter kick),10,45
9,4.0,Saints,Ernie Wheelwright 1 yard rush (Tom Dempsey kick),17,45
