,Quarter,Tm,Detail,NYJ,NWE
0,2.0,Patriots,John Smith 42 yard field goal,0,3
1,2.0,Jets,Bruce Harper 4 yard rush (Pat Leahy kick),7,3
2,2.0,Jets,Pat Leahy 47 yard field goal,10,3
3,3.0,Jets,Tom Newton 5 yard rush (Pat Leahy kick),17,3
4,3.0,Patriots,John Smith 29 yard field goal,17,6
