,Quarter,Time,Tm,Detail,WAS,NYJ
0,1.0,7:37,Jets,Dedric Ward 35 yard pass from Rick Mirer (John Hall kick),0,7
1,2.0,6:12,Redskins,Brett Conway 26 yard field goal,3,7
2,2.0,1:06,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),10,7
3,3.0,9:35,Redskins,Brett Conway 50 yard field goal,13,7
4,3.0,1:35,Jets,Curtis Martin 3 yard rush (John Hall kick),13,14
5,4.0,8:04,Jets,John Hall 37 yard field goal,13,17
6,4.0,4:00,Redskins,Stephen Davis 4 yard rush (Brett Conway kick),20,17
7,4.0,2:02,Redskins,Stephen Davis 7 yard rush (Brett Conway kick),27,17
8,4.0,1:44,Jets,John Hall 34 yard field goal,27,20
