,Quarter,Tm,Detail,HOU,CIN
0,2,Bengals,Willie Shelby special teams fumble recovery in end zone (Chris Bahr kick),0,7
1,3,Bengals,Chris Bahr 23 yard field goal,0,10
2,4,Oilers,Toni Fritsch 22 yard field goal,3,10
3,4,Oilers,Ronnie Coleman 3 yard pass from Dan Pastorini (Toni Fritsch kick),10,10
4,OT,Bengals,Chris Bahr 22 yard field goal,10,13
