,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Mike Cofer 29 yard field goal,0,3
1,2.0,49ers,Mike Cofer 24 yard field goal,0,6
2,2.0,49ers,Jerry Rice 29 yard pass from Joe Montana (Mike Cofer kick),0,13
3,2.0,49ers,Mike Cofer 36 yard field goal,0,16
4,3.0,49ers,Mike Cofer 47 yard field goal,0,19
5,4.0,49ers,Terrence Flagler 29 yard rush (Mike Cofer kick),0,26
