,Quarter,Time,Tm,Detail,ATL,CIN
0,1.0,,Bengals,Doug Pelfrey 37 yard field goal,0,3
1,1.0,,Bengals,Darnay Scott 20 yard pass from Jeff Blake (Doug Pelfrey kick),0,10
2,1.0,,Bengals,Carl Pickens 61 yard pass from Jeff Blake (Doug Pelfrey kick),0,17
3,2.0,,Falcons,Morten Andersen 33 yard field goal,3,17
4,2.0,,Falcons,Bert Emanuel 16 yard pass from Bobby Hebert (Morten Andersen kick),10,17
5,2.0,,Bengals,Doug Pelfrey 20 yard field goal,10,20
6,3.0,,Falcons,Jamal Anderson 4 yard rush (Morten Andersen kick),17,20
7,3.0,,Bengals,Carl Pickens 7 yard pass from Jeff Blake (Doug Pelfrey kick),17,27
8,4.0,14:53,Falcons,Eric Metcalf 26 yard pass from Bobby Hebert (Morten Andersen kick),24,27
9,4.0,14:53,Bengals,Brian Milne 1 yard rush (Doug Pelfrey kick),24,34
10,4.0,14:53,Bengals,Carl Pickens 14 yard pass from Jeff Blake (Doug Pelfrey kick),24,41
11,4.0,14:53,Falcons,Eric Metcalf 27 yard pass from Bobby Hebert (Morten Andersen kick),31,41
