,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),0,7
1,2.0,49ers,Larry Schreiber 23 yard pass from John Brodie (Bruce Gossett kick),0,14
2,2.0,49ers,John Brodie 5 yard rush (Bruce Gossett kick),0,21
3,2.0,Falcons,Bill Bell 18 yard field goal,3,21
4,4.0,49ers,Bruce Gossett 48 yard field goal,3,24
