,Quarter,Tm,Detail,NOR,SFO
0,2.0,49ers,John Taylor 19 yard pass from Steve Bono (Mike Cofer kick),0,7
1,2.0,Saints,Floyd Turner 6 yard pass from Steve Walsh (Morten Andersen kick),7,7
2,2.0,49ers,Dexter Carter 98 yard kickoff return (Mike Cofer kick),7,14
3,2.0,Saints,Morten Andersen 52 yard field goal,10,14
4,3.0,49ers,Mike Cofer 42 yard field goal,10,17
5,3.0,Saints,Fred McAfee 12 yard rush (Morten Andersen kick),17,17
6,3.0,Saints,Floyd Turner 3 yard pass from Steve Walsh (Morten Andersen kick),24,17
7,4.0,49ers,Dexter Carter 11 yard pass from Steve Bono (Mike Cofer kick),24,24
8,4.0,49ers,Jerry Rice 47 yard pass from Steve Bono (Mike Cofer kick),24,31
9,4.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),24,38
