,Quarter,Tm,Detail,MIN,RAM
0,2.0,Rams,Mike Lansford 43 yard field goal,0,3
1,2.0,Rams,Mike Lansford 33 yard field goal,0,6
2,3.0,Rams,Eric Dickerson 2 yard rush (Mike Lansford kick),0,13
3,3.0,Vikings,Ted Brown 1 yard rush (Jan Stenerud kick),7,13
4,4.0,Vikings,Jan Stenerud 24 yard field goal,10,13
