,Quarter,Tm,Detail,DAL,NOR
0,2.0,Saints,Andy Livingston 9 yard pass from Billy Kilmer (Tom Dempsey kick),0,7
1,2.0,Cowboys,Calvin Hill 23 yard rush (Mike Clark kick),7,7
2,2.0,Cowboys,Les Shy 49 yard pass from Craig Morton (Mike Clark kick),14,7
3,3.0,Saints,Dave Parks 2 yard pass from Billy Kilmer (Tom Dempsey kick),14,14
4,3.0,Saints,Tom Dempsey 43 yard field goal,14,17
5,4.0,Cowboys,Calvin Hill 8 yard rush (Mike Clark kick),21,17
