,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Karl Swanke 2 yard pass from Lynn Dickey (Jan Stenerud kick),0,7
1,2.0,Packers,Gerry Ellis 11 yard pass from Lynn Dickey (Jan Stenerud kick),0,14
2,3.0,Packers,Jan Stenerud 44 yard field goal,0,17
3,4.0,Falcons,Mick Luckhurst 32 yard field goal,3,17
4,4.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),10,17
5,4.0,Falcons,Alfred Jenkins 30 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,17
6,4.0,Falcons,Fulton Kuykendall 20 yard interception return (Mick Luckhurst kick),24,17
7,4.0,Falcons,Joel Williams 57 yard defensive fumble return (Mick Luckhurst kick),31,17
