,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Carroll Dale 63 yard pass from Bart Starr (Jerry Kramer kick),0,7
1,1.0,Packers,Jerry Kramer 38 yard field goal,0,10
2,2.0,Lions,Billy Gambrell 6 yard pass from Bill Munson (Jerry DePoyster kick),7,10
3,3.0,Lions,Jerry DePoyster 30 yard field goal,10,10
4,3.0,Lions,Mel Farr 3 yard rush (Jerry DePoyster kick),17,10
5,4.0,Packers,Carroll Dale 35 yard pass from Bart Starr (Jerry Kramer kick),17,17
6,4.0,Lions,Billy Gambrell 12 yard pass from Bill Munson,23,17
