,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,9:17,Titans,Derrick Mason 41 yard pass from Steve McNair (Joe Nedney kick),0,7
1,2.0,14:53,Titans,Steve McNair 6 yard rush (Joe Nedney kick),0,14
2,2.0,6:29,Bengals,Corey Dillon 2 yard rush (Neil Rackers kick),7,14
3,2.0,1:18,Bengals,Corey Dillon 34 yard rush (Neil Rackers kick),14,14
4,3.0,5:33,Bengals,Neil Rackers 30 yard field goal,17,14
5,3.0,2:21,Bengals,Neil Rackers 33 yard field goal,20,14
6,3.0,0:55,Titans,Derrick Mason 35 yard pass from Neil O'Donnell (Joe Nedney kick),20,21
7,4.0,0:20,Bengals,Neil Rackers 34 yard field goal,23,21
