,Quarter,Tm,Detail,BUF,SDG
0,1.0,Chargers,Billy Parks 56 yard pass from John Hadl (Dennis Partee kick),0,7
1,2.0,Chargers,Dennis Partee 9 yard field goal,0,10
2,3.0,Bills,Grant Guthrie 36 yard field goal,3,10
3,3.0,Chargers,Dennis Partee 10 yard field goal,3,13
4,4.0,Chargers,Billy Parks 12 yard pass from John Hadl (Dennis Partee kick),3,20
