,Quarter,Tm,Detail,RAM,NYG
0,1,Giants,Raul Allegre 35 yard field goal,0,3
1,1,Giants,Raul Allegre 41 yard field goal,0,6
2,2,Rams,Flipper Anderson 20 yard pass from Jim Everett (Mike Lansford kick),7,6
3,3,Giants,Ottis Anderson 2 yard rush (Raul Allegre kick),7,13
4,4,Rams,Mike Lansford 31 yard field goal,10,13
5,4,Rams,Mike Lansford 22 yard field goal,13,13
6,OT,Rams,Flipper Anderson 30 yard pass from Jim Everett,19,13
