,Quarter,Tm,Detail,WAS,HOU
0,1.0,Oilers,Drew Hill 22 yard pass from Warren Moon (Tony Zendejas kick),0,7
1,2.0,Redskins,Chip Lohmiller 46 yard field goal,3,7
2,2.0,Oilers,Drew Hill 33 yard pass from Warren Moon (Tony Zendejas kick),3,14
3,2.0,Oilers,Warren Moon 3 yard rush (Tony Zendejas kick),3,21
4,2.0,Oilers,Tony Zendejas 41 yard field goal,3,24
5,3.0,Redskins,Timmy Smith 1 yard rush (Chip Lohmiller kick),10,24
6,3.0,Oilers,Drew Hill 11 yard pass from Warren Moon (Tony Zendejas kick),10,31
7,4.0,Oilers,Tony Zendejas 39 yard field goal,10,34
8,4.0,Oilers,Allen Pinkett 16 yard rush (Tony Zendejas kick),10,41
9,4.0,Redskins,Keith Griffin 4 yard pass from Mark Rypien (Chip Lohmiller kick),17,41
