,Quarter,Tm,Detail,DET,CHI
0,2.0,Bears,Carl Garrett 1 yard rush (Mirro Roder kick),0,7
1,2.0,Bears,Ike Hill 9 yard pass from Gary Huff (Mirro Roder kick),0,14
2,3.0,Bears,Mirro Roder 29 yard field goal,0,17
3,3.0,Lions,"Safety, Mitchell blocked Parsons punt out of end zone",2,17
4,4.0,Lions,Steve Owens 4 yard rush (Errol Mann kick),9,17
