,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,James Jones 5 yard pass from Eric Hipple (Eddie Murray kick),0,7
1,1.0,Lions,Alvin Moore 1 yard rush (Eddie Murray kick),0,14
2,1.0,Lions,Eddie Murray 49 yard field goal,0,17
3,2.0,Lions,David Lewis 4 yard pass from Eric Hipple (Eddie Murray kick),0,24
4,2.0,Lions,David Lewis 3 yard pass from Eric Hipple (Eddie Murray kick),0,31
5,2.0,Vikings,Anthony Carter 10 yard pass from Tommy Kramer (Jan Stenerud kick),7,31
6,3.0,Lions,Alvin Moore 2 yard rush (Eddie Murray kick),7,38
7,3.0,Vikings,Anthony Carter 38 yard pass from Tommy Kramer (Jan Stenerud kick),14,38
8,4.0,Lions,Eddie Murray 51 yard field goal,14,41
9,4.0,Vikings,Alfred Anderson 1 yard rush (Jan Stenerud kick),21,41
