,Quarter,Tm,Detail,WAS,DET
0,1.0,Lions,Regis Monahan 31 yard field goal,0,3
1,1.0,Lions,"Safety, Farkas tackled in end zone",0,5
2,3.0,Redskins,Andy Farkas 1 yard rush (Riley Smith kick),7,5
