,Quarter,Tm,Detail,SEA,KAN
0,1.0,Seahawks,Norm Johnson 34 yard field goal,3,0
1,1.0,Chiefs,Henry Marshall 9 yard pass from Bill Kenney (Nick Lowery kick),3,7
2,3.0,Seahawks,Norm Johnson 48 yard field goal,6,7
3,3.0,Chiefs,Carlos Carson 18 yard pass from Jewerl Thomas (Nick Lowery kick),6,14
4,4.0,Chiefs,Nick Lowery 19 yard field goal,6,17
5,4.0,Seahawks,Curt Warner 18 yard pass from Jim Zorn (Norm Johnson kick),13,17
