,Quarter,Tm,Detail,SFO,CIN
0,1,Bengals,Craig Taylor 2 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,7
2,3,Bengals,Jim Breech 38 yard field goal,7,10
3,3,49ers,Harry Sydney 3 yard rush (Mike Cofer kick),14,10
4,3,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),14,17
5,4,49ers,Mike Cofer 23 yard field goal,17,17
6,OT,49ers,Mike Cofer 23 yard field goal,20,17
