,Quarter,Time,Tm,Detail,NYJ,TEN
0,1.0,8:54,Jets,Thomas Jones 10 yard pass from Brett Favre (Jay Feely kick),7,0
1,2.0,3:59,Jets,Jay Feely 20 yard field goal,10,0
2,2.0,0:51,Titans,Rob Bironas 43 yard field goal,10,3
3,3.0,8:06,Jets,Jay Feely 30 yard field goal,13,3
4,3.0,3:02,Jets,Laveranues Coles 2 yard pass from Brett Favre (Jay Feely kick),20,3
5,4.0,12:50,Titans,Rob Bironas 49 yard field goal,20,6
6,4.0,11:07,Jets,Leon Washington 61 yard rush (Jay Feely kick),27,6
7,4.0,9:43,Titans,Ahmard Hall 6 yard pass from Kerry Collins (Rob Bironas kick),27,13
8,4.0,2:09,Jets,Leon Washington 4 yard rush (Jay Feely kick),34,13
