,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Wendell Tyler 69 yard rush (Frank Corral kick),0,7
1,1.0,Lions,David Hill 14 yard pass from Eric Hipple (Eddie Murray kick),7,7
2,1.0,Lions,Eddie Murray 49 yard field goal,10,7
3,2.0,Lions,Eddie Murray 45 yard field goal,13,7
4,4.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),13,14
5,4.0,Rams,Frank Corral 42 yard field goal,13,17
6,4.0,Rams,Frank Corral 31 yard field goal,13,20
