,Quarter,Tm,Detail,PHI,NYG
0,1,Eagles,Randall Cunningham 1 yard rush (Luis Zendejas kick),7,0
1,1,Giants,Stacy Robinson 62 yard pass from Phil Simms (Paul McFadden kick),7,7
2,2,Eagles,Luis Zendejas 37 yard field goal,10,7
3,2,Giants,Paul McFadden 21 yard field goal,10,10
4,3,Giants,Stephen Baker 9 yard pass from Phil Simms (Paul McFadden kick),10,17
5,4,Eagles,Cris Carter offensive fumble recovery in end zone (Luis Zendejas kick),17,17
6,OT,Eagles,Clyde Simmons 15 yard blocked field goal return,23,17
