,Quarter,Time,Tm,Detail,MIA,OAK
0,1.0,11:36,Raiders,Tory James 90 yard interception return (Sebastian Janikowski kick),0,7
1,1.0,4:52,Raiders,Sebastian Janikowski 36 yard field goal,0,10
2,2.0,8:36,Raiders,Sebastian Janikowski 33 yard field goal,0,13
3,2.0,1:53,Raiders,James Jett 6 yard pass from Rich Gannon (Sebastian Janikowski kick),0,20
4,3.0,5:56,Raiders,Tyrone Wheatley 2 yard rush (Sebastian Janikowski kick),0,27
