,Quarter,Tm,Detail,DET,ATL
0,1.0,Lions,Errol Mann 39 yard field goal,3,0
1,1.0,Falcons,Bill Bell 22 yard field goal,3,3
2,2.0,Lions,Errol Mann 37 yard field goal,6,3
3,2.0,Lions,Steve Owens 8 yard rush (Errol Mann kick),13,3
4,3.0,Falcons,Art Malone 10 yard rush (Bill Bell kick),13,10
5,3.0,Lions,Ron Jessie 82 yard pass from Greg Landry (Errol Mann kick),20,10
6,4.0,Falcons,Art Malone 2 yard pass from Bob Berry (Bill Bell kick),20,17
7,4.0,Falcons,Bill Bell 32 yard field goal,20,20
8,4.0,Falcons,Bill Bell 12 yard field goal,20,23
9,4.0,Lions,Steve Owens 3 yard rush,26,23
