,Quarter,Tm,Detail,RAI,SEA
0,1.0,Seahawks,Paul Skansi 5 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Raiders,Jeff Jaeger 19 yard field goal,3,7
2,2.0,Seahawks,Norm Johnson 29 yard field goal,3,10
3,2.0,Seahawks,Norm Johnson 25 yard field goal,3,13
4,3.0,Raiders,Willie Gault 36 yard pass from Steve Beuerlein (Jeff Jaeger kick),10,13
5,3.0,Raiders,Trey Junkin 1 yard pass from Steve Beuerlein (Jeff Jaeger kick),17,13
6,3.0,Seahawks,John Williams 13 yard pass from Dave Krieg (Norm Johnson kick),17,20
7,4.0,Seahawks,Norm Johnson 43 yard field goal,17,23
