,Quarter,Tm,Detail,HOU,BAL
0,1.0,Colts,Roosevelt Leaks 4 yard rush (Toni Linhart kick),0,7
1,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),0,14
2,2.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),0,21
3,3.0,Colts,Toni Linhart 25 yard field goal,0,24
4,4.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),0,31
5,4.0,Oilers,Ken Burrough 53 yard pass from Dan Pastorini (Skip Butler kick),7,31
6,4.0,Oilers,Joe Dawkins 2 yard rush (Skip Butler kick),14,31
7,4.0,Colts,Ron Lee 69 yard rush (Toni Linhart kick),14,38
