,Quarter,Tm,Detail,NOR,GNB
0,1.0,Saints,Lonzell Hill 32 yard pass from Bobby Hebert (Morten Andersen kick),7,0
1,1.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),14,0
2,2.0,Saints,Hoby Brenner 1 yard pass from Bobby Hebert (Morten Andersen kick),21,0
3,2.0,Packers,Brent Fullwood 1 yard rush (Chris Jacke kick),21,7
4,2.0,Saints,Morten Andersen 38 yard field goal,24,7
5,3.0,Packers,Brent Fullwood 4 yard rush (Chris Jacke kick),24,14
6,3.0,Packers,Ed West 3 yard pass from Don Majkowski (Chris Jacke kick),24,21
7,4.0,Saints,Lonzell Hill 24 yard pass from Bobby Hebert (Morten Andersen kick),31,21
8,4.0,Packers,Ed West 17 yard pass from Don Majkowski (Chris Jacke kick),31,28
9,4.0,Saints,Morten Andersen 32 yard field goal,34,28
10,4.0,Packers,Sterling Sharpe 3 yard pass from Don Majkowski (Chris Jacke kick),34,35
