,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Bruce Gossett 40 yard field goal,3,0
1,1.0,Bears,Mac Percival 36 yard field goal,3,3
2,1.0,Bears,Dick Gordon 25 yard pass from Jack Concannon (Mac Percival kick),3,10
3,1.0,Bears,Mac Percival 37 yard field goal,3,13
4,2.0,49ers,Bill Tucker 1 yard rush (Bruce Gossett kick),10,13
5,3.0,Bears,Mac Percival 19 yard field goal,10,16
6,3.0,49ers,Ken Willard 7 yard pass from John Brodie (Bruce Gossett kick),17,16
7,3.0,49ers,Gene Washington 79 yard pass from John Brodie (Bruce Gossett kick),24,16
8,4.0,49ers,Gene Washington 10 yard pass from John Brodie (Bruce Gossett kick),31,16
9,4.0,49ers,Ken Willard 4 yard pass from Steve Spurrier,37,16
