,Quarter,Tm,Detail,STL,GNB
0,1.0,Packers,John Brockington 1 yard rush (Chester Marcol kick),0,7
1,1.0,Packers,Chester Marcol 12 yard field goal,0,10
2,1.0,Cardinals,Donny Anderson 30 yard pass from Jim Hart (Jim Bakken kick),7,10
3,2.0,Packers,Jerry Tagge 1 yard rush,7,16
4,2.0,Packers,Chester Marcol 32 yard field goal,7,19
5,2.0,Packers,Chester Marcol 24 yard field goal,7,22
6,4.0,Cardinals,Ahmad Rashad 23 yard pass from Jim Hart (Jim Bakken kick),14,22
7,4.0,Cardinals,Terry Metcalf 2 yard rush (Jim Bakken kick),21,22
8,4.0,Packers,Chester Marcol 9 yard field goal,21,25
