,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Preston Dennard 29 yard pass from Vince Ferragamo (Frank Corral kick),0,7
1,2.0,Rams,Billy Waddy 40 yard pass from Vince Ferragamo (Frank Corral kick),0,14
2,3.0,Falcons,Wallace Francis 15 yard pass from June Jones (Tim Mazzetti kick),7,14
3,4.0,Rams,Cullen Bryant 11 yard rush,7,20
4,4.0,Falcons,Wallace Francis 33 yard pass from June Jones (Tim Mazzetti kick),14,20
