,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Ken Strong 21 yard field goal,0,3
1,1.0,Eagles,Steve Van Buren 14 yard rush,6,3
2,2.0,Giants,Victor Carroll 18 yard pass from Paul Governali (Ken Strong kick),6,10
3,2.0,Eagles,Pat McHugh 15 yard rush (Cliff Patton kick),13,10
4,3.0,Eagles,Bosh Pritchard 22 yard rush (Cliff Patton kick),20,10
5,3.0,Eagles,Bosh Pritchard 39 yard pass from Tommy Thompson (Cliff Patton kick),27,10
6,4.0,Giants,George Franck 21 yard pass from Paul Governali (Ken Strong kick),27,17
7,4.0,Eagles,Jack Ferrante 50 yard pass from Tommy Thompson (Cliff Patton kick),34,17
8,4.0,Eagles,Bosh Pritchard 7 yard pass from Bill Mackrides (Cliff Patton kick),41,17
9,4.0,Giants,Gordon Paschka 1 yard rush (Ken Strong kick),41,24
