,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Tony Lorick 5 yard rush (Lou Michaels kick),0,7
1,2.0,Colts,Tom Matte 28 yard pass from Johnny Unitas (Lou Michaels kick),0,14
2,2.0,Colts,John Mackey 51 yard pass from Johnny Unitas (Lou Michaels kick),0,21
3,2.0,Colts,Lou Michaels 47 yard field goal,0,24
4,3.0,Lions,Pat Studstill 4 yard pass from Milt Plum (Wayne Walker kick),7,24
5,3.0,Colts,Jimmy Orr 3 yard pass from Johnny Unitas (Lou Michaels kick),7,31
6,4.0,Colts,Raymond Berry 17 yard pass from Johnny Unitas (Lou Michaels kick),7,38
7,4.0,Lions,Pat Studstill 99 yard pass from Karl Sweetan (Wayne Walker kick),14,38
8,4.0,Colts,Willie Richardson 5 yard pass from Gary Cuozzo (Lou Michaels kick),14,45
