,Quarter,Tm,Detail,CLE,RAI
0,1.0,Raiders,Dokie Williams 46 yard pass from Jim Plunkett (Chris Bahr kick),0,7
1,1.0,Raiders,Chris Bahr 40 yard field goal,0,10
2,2.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),0,17
3,2.0,Browns,Kevin Mack 1 yard rush (Matt Bahr kick),7,17
4,3.0,Browns,Kevin Mack 2 yard rush (Matt Bahr kick),14,17
5,4.0,Raiders,Dokie Williams 43 yard pass from Jim Plunkett (Chris Bahr kick),14,24
6,4.0,Raiders,Chris Bahr 27 yard field goal,14,27
