,Quarter,Time,Tm,Detail,OAK,NYJ
0,1.0,10:00,Raiders,Daniel Carlson 48 yard field goal,3,0
1,1.0,5:05,Jets,Sam Ficken 24 yard field goal,3,3
2,2.0,10:48,Jets,Sam Darnold 4 yard rush (Sam Ficken kick),3,10
3,2.0,3:16,Jets,Sam Ficken 35 yard field goal,3,13
4,3.0,13:05,Jets,Ryan Griffin 1 yard pass from Sam Darnold (Sam Ficken kick),3,20
5,3.0,6:44,Jets,Robby Anderson 1 yard pass from Sam Darnold (Sam Ficken kick),3,27
6,3.0,6:32,Jets,Brian Poole 15 yard interception return (Sam Ficken kick),3,34
