,Quarter,Tm,Detail,DAL,BAL
0,1.0,Cowboys,Mike Clark 14 yard field goal,3,0
1,2.0,Cowboys,Mike Clark 30 yard field goal,6,0
2,2.0,Colts,John Mackey 75 yard pass from Johnny Unitas,6,6
3,2.0,Cowboys,Duane Thomas 7 yard pass from Craig Morton (Mike Clark kick),13,6
4,4.0,Colts,Tom Nowatzke 2 yard rush (Jim O'Brien kick),13,13
5,4.0,Colts,Jim O'Brien 32 yard field goal,13,16
