,Quarter,Tm,Detail,PIT,NWE
0,1,Patriots,Russ Francis 4 yard pass from Steve Grogan (John Smith kick),0,7
1,2,Steelers,Sidney Thornton 2 yard rush,6,7
2,2,Patriots,John Smith 31 yard field goal,6,10
3,2,Patriots,John Smith 32 yard field goal,6,13
4,4,Steelers,Sidney Thornton 21 yard pass from Terry Bradshaw (Matt Bahr kick),13,13
5,OT,Steelers,Matt Bahr 41 yard field goal,16,13
