,Quarter,Tm,Detail,SEA,RAI
0,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Todd Christensen 24 yard pass from Marc Wilson (Chris Bahr kick),0,14
2,2.0,Seahawks,Steve Largent 27 yard pass from Dave Krieg (Norm Johnson kick),7,14
3,4.0,Seahawks,David Hughes 2 yard rush (Norm Johnson kick),14,14
4,4.0,Raiders,Marcus Allen 58 yard pass from Marc Wilson (Chris Bahr kick),14,21
5,4.0,Raiders,Rod Martin 14 yard interception return (Chris Bahr kick),14,28
