,Quarter,Tm,Detail,CLE,OAK
0,1.0,Raiders,Cliff Branch 39 yard pass from Ken Stabler (Jim Breech kick),0,7
1,2.0,Raiders,Jim Breech 25 yard field goal,0,10
2,2.0,Raiders,Jim Breech 38 yard field goal,0,13
3,3.0,Browns,Mike Pruitt 77 yard rush (Don Cockroft kick),7,13
4,4.0,Raiders,Jim Breech 23 yard field goal,7,16
5,4.0,Browns,Mike Pruitt 2 yard rush (Don Cockroft kick),14,16
6,4.0,Raiders,Jim Breech 45 yard field goal,14,19
