,Quarter,Tm,Detail,CHI,BOS
0,1,Bears,Bill Hewitt 20 yard pass from Gene Ronzani (Jack Manders kick),7,0
1,2,Bears,Bill Hewitt 20 yard pass from Keith Molesworth (Jack Manders kick),14,0
2,4,Bears,Bronko Nagurski 1 yard rush (Carl Brumbaugh kick),21,0
