,Quarter,Time,Tm,Detail,HOU,MIA
0,1.0,5:10,Texans,Kris Brown 36 yard field goal,3,0
1,2.0,9:20,Dolphins,Chris Chambers 57 yard pass from Jay Fiedler (Olindo Mare kick),3,7
2,2.0,6:17,Texans,Kris Brown 50 yard field goal,6,7
3,2.0,1:00,Dolphins,Chris Chambers 21 yard pass from Jay Fiedler (Olindo Mare kick),6,14
4,3.0,4:22,Texans,Corey Bradford 78 yard pass from David Carr,12,14
5,3.0,0:21,Texans,Kris Brown 23 yard field goal,15,14
6,4.0,12:24,Dolphins,Ricky Williams 35 yard pass from Jay Fiedler (pass failed),15,20
7,4.0,4:55,Texans,Kris Brown 24 yard field goal,18,20
8,4.0,0:25,Texans,Kris Brown 35 yard field goal,21,20
